epoch,accuracy,auc,learning_rate,loss,pr_auc,precision_40,precision_45,precision_50,precision_55,recall_40,recall_45,recall_50,recall_55,val_accuracy,val_auc,val_loss,val_pr_auc,val_precision_40,val_precision_45,val_precision_50,val_precision_55,val_recall_40,val_recall_45,val_recall_50,val_recall_55
0,0.5149999856948853,0.5105081796646118,9.999999747378752e-05,0.8027280569076538,0.5209100842475891,0.4951351284980774,0.49558499455451965,0.5555555820465088,0.5454545617103577,0.9196786880493164,0.9016064405441284,0.13052208721637726,0.10843373835086823,0.5415019989013672,0.5217010378837585,0.6955211162567139,0.49495235085487366,0.48605579137802124,0.48605579137802124,0.527999997138977,0.5,0.9918699264526367,0.9918699264526367,0.5365853905677795,0.17073170840740204
1,0.5289999842643738,0.5268745422363281,9.999999747378752e-05,0.6937537789344788,0.5358514189720154,0.49799197912216187,0.49799197912216187,0.6030534505844116,0.6200000047683716,0.9959839582443237,0.9959839582443237,0.15863454341888428,0.12449799478054047,0.5573122501373291,0.5539712309837341,0.6867179274559021,0.5576092004776001,0.4900398552417755,0.4900398552417755,0.6410256624221802,0.7142857313156128,1.0,1.0,0.20325203239917755,0.08130080997943878
2,0.5559999942779541,0.5571549534797668,9.999999747378752e-05,0.6803326606750488,0.5855427980422974,0.4979960024356842,0.4979960024356842,0.6753246784210205,0.7007874250411987,0.9979919791221619,0.9979919791221619,0.20883534848690033,0.17871485650539398,0.5928853750228882,0.5972795486450195,0.6793052554130554,0.5964705348014832,0.488095223903656,0.4900398552417755,0.6111111044883728,0.7200000286102295,1.0,1.0,0.4471544623374939,0.2926829159259796
3,0.5600000023841858,0.5642291307449341,9.999999747378752e-05,0.6720163822174072,0.6098466515541077,0.49799999594688416,0.49799999594688416,0.6746987700462341,0.7194244861602783,1.0,1.0,0.22489960491657257,0.2008032202720642,0.6086956262588501,0.6385866403579712,0.6727988123893738,0.6407980918884277,0.488095223903656,0.488095223903656,0.6034482717514038,0.6388888955116272,1.0,1.0,0.5691056847572327,0.3739837408065796
4,0.5559999942779541,0.5586948394775391,9.999999747378752e-05,0.6752544045448303,0.5968573093414307,0.49849849939346313,0.49849849939346313,0.6824324131011963,0.7153846025466919,1.0,1.0,0.20281124114990234,0.1867469847202301,0.6284584999084473,0.6376485228538513,0.6711992621421814,0.6463298797607422,0.488095223903656,0.488095223903656,0.6464646458625793,0.625,1.0,1.0,0.5203251838684082,0.3252032399177551
5,0.5839999914169312,0.588967502117157,9.999999747378752e-05,0.6575460433959961,0.6460399031639099,0.4979960024356842,0.4979960024356842,0.7252747416496277,0.7707006335258484,0.9979919791221619,0.9979919791221619,0.2650602459907532,0.24297188222408295,0.6363636255264282,0.6588805317878723,0.6665660738945007,0.6680035591125488,0.48616600036621094,0.48616600036621094,0.632478654384613,0.6962025165557861,1.0,1.0,0.6016260385513306,0.4471544623374939
6,0.5730000138282776,0.5775192975997925,9.999999747378752e-05,0.6670513153076172,0.6229713559150696,0.49799999594688416,0.49799999594688416,0.7100591659545898,0.7464788556098938,1.0,1.0,0.2409638613462448,0.2128514051437378,0.6521739363670349,0.6617261171340942,0.6678474545478821,0.6680279970169067,0.48616600036621094,0.48616600036621094,0.692307710647583,0.7636363506317139,1.0,1.0,0.5121951103210449,0.3414634168148041
7,0.5979999899864197,0.5945555567741394,9.999999747378752e-05,0.655951976776123,0.650894820690155,0.49799999594688416,0.49799999594688416,0.7400000095367432,0.7597765326499939,1.0,1.0,0.29718875885009766,0.2730923593044281,0.6403161883354187,0.6855221390724182,0.6602044701576233,0.6929857730865479,0.48616600036621094,0.48616600036621094,0.625,0.7317073345184326,1.0,1.0,0.6504064798355103,0.4878048896789551
8,0.5979999899864197,0.6058316826820374,9.999999747378752e-05,0.6478701829910278,0.6673354506492615,0.49849849939346313,0.4989979863166809,0.7474226951599121,0.7844311594963074,1.0,1.0,0.29116466641426086,0.26305219531059265,0.6205533742904663,0.6929956674575806,0.6655663251876831,0.6771202683448792,0.48616600036621094,0.48616600036621094,0.5798816680908203,0.6333333253860474,1.0,1.0,0.7967479825019836,0.6178861856460571
9,0.5910000205039978,0.6067817807197571,9.999999747378752e-05,0.6512742042541504,0.658749520778656,0.5025852918624878,0.5047120451927185,0.7405405640602112,0.793749988079071,0.9759036302566528,0.9678714871406555,0.2751004099845886,0.2550200819969177,0.6600790619850159,0.7094746232032776,0.6503121852874756,0.7186181545257568,0.4879032373428345,0.4937759339809418,0.6390977501869202,0.6938775777816772,0.9837398529052734,0.9674796462059021,0.6910569071769714,0.5528455376625061
10,0.6159999966621399,0.6286419630050659,9.999999747378752e-05,0.6335634589195251,0.6957184672355652,0.49899598956108093,0.4994974732398987,0.741525411605835,0.7772511839866638,0.9979919791221619,0.9979919791221619,0.35140562057495117,0.32931727170944214,0.6561264991760254,0.703408420085907,0.654554545879364,0.7075700163841248,0.48616600036621094,0.48616600036621094,0.6343283653259277,0.7127659320831299,1.0,1.0,0.6910569071769714,0.5447154641151428
11,0.6119999885559082,0.6203839778900146,9.999999747378752e-05,0.6395413279533386,0.6853768825531006,0.49799999594688416,0.4989979863166809,0.7806122303009033,0.8068181872367859,1.0,1.0,0.3072289228439331,0.2851405739784241,0.6640316247940063,0.7027829885482788,0.6521791219711304,0.7208206057548523,0.48616600036621094,0.48616600036621094,0.6727272868156433,0.8108108043670654,1.0,1.0,0.6016260385513306,0.4878048896789551
12,0.6119999885559082,0.621009886264801,9.999999747378752e-05,0.632579505443573,0.686585009098053,0.5005117654800415,0.5025852918624878,0.7722772359848022,0.8314606547355652,0.9819276928901672,0.9759036302566528,0.3132530152797699,0.29718875885009766,0.6758893132209778,0.7145715951919556,0.645028829574585,0.7315548658370972,0.48995983600616455,0.49392712116241455,0.6915887594223022,0.7866666913032532,0.9918699264526367,0.9918699264526367,0.6016260385513306,0.4796747863292694
13,0.6140000224113464,0.6552624702453613,9.999999747378752e-05,0.6230810880661011,0.701833963394165,0.525739312171936,0.5311803817749023,0.7666666507720947,0.8042327761650085,0.9638554453849792,0.9578313231468201,0.32329317927360535,0.3052208721637726,0.6679841876029968,0.7125391364097595,0.6345629096031189,0.7362080812454224,0.5043103694915771,0.5137614607810974,0.6756756901741028,0.7647058963775635,0.9512194991111755,0.9105691313743591,0.6097561120986938,0.5284552574157715
14,0.6209999918937683,0.6466804146766663,9.999999747378752e-05,0.6239240765571594,0.7074688076972961,0.5128479599952698,0.5145005583763123,0.7716894745826721,0.801980197429657,0.9618473649024963,0.9618473649024963,0.3393574357032776,0.3253012001514435,0.6561264991760254,0.7080049514770508,0.6441107988357544,0.7326549291610718,0.48616600036621094,0.48616600036621094,0.6499999761581421,0.71875,1.0,1.0,0.6341463327407837,0.5609756112098694
15,0.6129999756813049,0.634326159954071,9.999999747378752e-05,0.6237452626228333,0.6957854628562927,0.505081295967102,0.5061099529266357,0.7788944840431213,0.8426966071128845,0.9979919791221619,0.9979919791221619,0.31124499440193176,0.3012048304080963,0.6719367504119873,0.6990306377410889,0.6337721347808838,0.7206034064292908,0.5445026159286499,0.5621301531791687,0.7439024448394775,0.8253968358039856,0.8455284833908081,0.772357702255249,0.49593496322631836,0.42276424169540405
16,0.6209999918937683,0.6349821090698242,9.999999747378752e-05,0.6299094557762146,0.6982239484786987,0.5078533887863159,0.5073995590209961,0.8181818127632141,0.8275862336158752,0.9738956093788147,0.9638554453849792,0.3072289228439331,0.28915661573410034,0.6521739363670349,0.7192932367324829,0.6439811587333679,0.7221493721008301,0.4880000054836273,0.4880000054836273,0.6174496412277222,0.699999988079071,0.9918699264526367,0.9918699264526367,0.7479674816131592,0.6260162591934204
17,0.6169999837875366,0.6539544463157654,9.999999747378752e-05,0.6105108857154846,0.7079328894615173,0.5203425884246826,0.5205183625221252,0.7948718070983887,0.83152174949646,0.9759036302566528,0.9678714871406555,0.31124499440193176,0.3072289228439331,0.6442687511444092,0.7143527269363403,0.6363736987113953,0.7221133708953857,0.5111111402511597,0.5093457698822021,0.6153846383094788,0.6607142686843872,0.934959352016449,0.8861788511276245,0.7154471278190613,0.6016260385513306
