epoch,accuracy,auc,learning_rate,loss,pr_auc,precision_40,precision_45,precision_50,precision_55,recall_40,recall_45,recall_50,recall_55,val_accuracy,val_auc,val_loss,val_pr_auc,val_precision_40,val_precision_45,val_precision_50,val_precision_55,val_recall_40,val_recall_45,val_recall_50,val_recall_55
0,0.5248380303382874,0.5348178148269653,9.999999747378752e-05,0.7973215579986572,0.5308007001876831,0.5321782231330872,0.5282391905784607,0.5636363625526428,0.5887096524238586,0.4594016969203949,0.33974358439445496,0.2649572789669037,0.15598291158676147,0.574999988079071,0.5997846126556396,0.7019832730293274,0.5602660775184631,0.558282196521759,0.5761589407920837,0.5645161271095276,0.584269642829895,0.7711864113807678,0.7372881174087524,0.5932203531265259,0.4406779706478119
1,0.5367170572280884,0.5908352732658386,9.999999747378752e-05,0.7576615214347839,0.5729612112045288,0.5764411091804504,0.5737704634666443,0.6000000238418579,0.6304348111152649,0.49145299196243286,0.3739316165447235,0.25,0.12393162399530411,0.6000000238418579,0.6316685080528259,0.6829860210418701,0.6129310131072998,0.5670731663703918,0.5675675868988037,0.5901639461517334,0.604938268661499,0.7881355881690979,0.7118644118309021,0.6101694703102112,0.41525423526763916
2,0.5874729752540588,0.6798813939094543,9.999999747378752e-05,0.6954885125160217,0.6762914657592773,0.6533957719802856,0.6837060451507568,0.7216494679450989,0.7477477192878723,0.5961538553237915,0.4572649598121643,0.29914531111717224,0.17735043168067932,0.6083333492279053,0.673381507396698,0.674632728099823,0.6532582640647888,0.6131386756896973,0.6465517282485962,0.662162184715271,0.6590909361839294,0.7118644118309021,0.6355932354927063,0.41525423526763916,0.24576270580291748
3,0.6004319787025452,0.697558581829071,9.999999747378752e-05,0.6731085181236267,0.6869228482246399,0.6490825414657593,0.6767371892929077,0.7041666507720947,0.732876718044281,0.6047008633613586,0.47863247990608215,0.3611111044883728,0.22863247990608215,0.6208333373069763,0.6630661487579346,0.6676471829414368,0.6538417935371399,0.5986394286155701,0.6124030947685242,0.6391752362251282,0.6557376980781555,0.7457627058029175,0.6694915294647217,0.5254237055778503,0.33898305892944336
4,0.6414687037467957,0.7479308843612671,9.999999747378752e-05,0.6289926767349243,0.739986777305603,0.6887417435646057,0.7314285635948181,0.7720000147819519,0.800000011920929,0.6666666865348816,0.5470085740089417,0.41239315271377563,0.2649572789669037,0.625,0.6736593246459961,0.6675337553024292,0.6683856248855591,0.6028369069099426,0.6495726704597473,0.6794871687889099,0.717391312122345,0.7203390002250671,0.6440678238868713,0.44915252923965454,0.27966102957725525
5,0.6501079797744751,0.7667231559753418,9.999999747378752e-05,0.6183358430862427,0.7579143643379211,0.7112526297569275,0.7590027451515198,0.7769230604171753,0.8048780560493469,0.7158119678497314,0.5854700803756714,0.4316239356994629,0.28205129504203796,0.6166666746139526,0.6951236724853516,0.6503773927688599,0.7080808877944946,0.6159999966621399,0.6404494643211365,0.75,0.875,0.6525423526763916,0.4830508530139923,0.3305084705352783,0.23728813230991364
6,0.6889848709106445,0.7924201488494873,9.999999747378752e-05,0.5992765426635742,0.7960832715034485,0.7327394485473633,0.7824859023094177,0.8409090638160706,0.8554216623306274,0.7029914259910583,0.5918803215026855,0.4743589758872986,0.3034188151359558,0.6208333373069763,0.6967908143997192,0.6591325402259827,0.6912512183189392,0.6390977501869202,0.6600000262260437,0.6849315166473389,0.7435897588729858,0.7203390002250671,0.5593220591545105,0.4237288236618042,0.24576270580291748
7,0.676025927066803,0.7806493043899536,9.999999747378752e-05,0.6012304425239563,0.7762118577957153,0.7060086131095886,0.7453581094741821,0.800000011920929,0.8703703880310059,0.7029914259910583,0.6004273295402527,0.47863247990608215,0.30128204822540283,0.637499988079071,0.7057862877845764,0.6424092650413513,0.710819661617279,0.6266666650772095,0.6293103694915771,0.701298713684082,0.7333333492279053,0.7966101765632629,0.6186440587043762,0.4576271176338196,0.27966102957725525
8,0.7095032334327698,0.8263935446739197,9.999999747378752e-05,0.5617780089378357,0.8199632167816162,0.7283702492713928,0.764127790927887,0.8395904302597046,0.8702702522277832,0.7735042572021484,0.6645299196243286,0.5256410241127014,0.3440170884132385,0.6333333253860474,0.7097805142402649,0.6340555548667908,0.7224991321563721,0.6168830990791321,0.642276406288147,0.6785714030265808,0.7636363506317139,0.805084764957428,0.6694915294647217,0.4830508530139923,0.35593220591545105
9,0.7041036486625671,0.8183597326278687,9.999999747378752e-05,0.5667830109596252,0.8182358741760254,0.7359667420387268,0.7866004705429077,0.8255033493041992,0.875,0.7564102411270142,0.6773504018783569,0.5256410241127014,0.3589743673801422,0.637499988079071,0.7057516574859619,0.634223997592926,0.7183544635772705,0.5987654328346252,0.6363636255264282,0.6741573214530945,0.7333333492279053,0.8220338821411133,0.7118644118309021,0.508474588394165,0.37288135290145874
