architecture,auc_mean,auc_std,auc_min,auc_max,bce_mean,bce_std,bce_min,bce_max,ap_mean,ap_std,ap_min,ap_max,brier_mean,brier_std,brier_min,brier_max
global,0.6511821877341479,0.07316662182459092,0.5642303433001107,0.755700428319476,0.6786510974157014,0.04333605748652311,0.6161504510315001,0.7209161568201605,0.6434744956605771,0.08398983398650098,0.5606541851893663,0.7655015550902766,0.24037732005483306,0.019184575497227255,0.21346567719677087,0.2599323854136609
local,0.6918284053687305,0.10552034500451588,0.5204008589835362,0.7824132231404959,0.6319555646208814,0.04876626522692014,0.5652123938457754,0.696679341442531,0.6944354819615787,0.12087517860433494,0.4959517982169836,0.8023851215494597,0.22170712693658653,0.022620619497784825,0.19074289271827902,0.2514834419640744
residual,0.7344929747142214,0.07610213394481977,0.6085768204594261,0.8031620055429579,0.6024156566632551,0.056220297858947936,0.5410385772373688,0.6876079137326345,0.7423800491834294,0.09259954982963943,0.5880105959600734,0.8221781190054813,0.20849174020692543,0.02490601980308584,0.18327089108950206,0.2471028607436897
symmetric,0.7230843947959076,0.09247659764056591,0.5725255417452983,0.8208264462809917,0.6233821902081738,0.0796087854511498,0.5288018082417559,0.7427419484241171,0.727626156706265,0.10008597558224139,0.564490209387799,0.8313523099883633,0.2155639782628967,0.03411500419020308,0.1748262137811436,0.2674520590213067
