iteration,local_auc,local_bce,local_ap,local_brier,global_auc,global_bce,global_ap,global_brier,symmetric_auc,symmetric_bce,symmetric_ap,symmetric_brier,residual_auc,residual_bce,residual_ap,residual_brier,delta_residual_minus_symmetric_auc,delta_residual_minus_symmetric_bce,delta_residual_minus_symmetric_ap,delta_residual_minus_symmetric_brier,delta_symmetric_minus_local_auc,delta_symmetric_minus_local_bce,delta_symmetric_minus_local_ap,delta_symmetric_minus_local_brier,delta_residual_minus_local_auc,delta_residual_minus_local_bce,delta_residual_minus_local_ap,delta_residual_minus_local_brier,delta_symmetric_minus_global_auc,delta_symmetric_minus_global_bce,delta_symmetric_minus_global_ap,delta_symmetric_minus_global_brier,delta_residual_minus_global_auc,delta_residual_minus_global_bce,delta_residual_minus_global_ap,delta_residual_minus_global_brier,delta_local_minus_global_auc,delta_local_minus_global_bce,delta_local_minus_global_ap,delta_local_minus_global_brier
10,0.6915004547121029,0.6378330909233363,0.7183785459092451,0.22446008611012105,0.6632154573546706,0.6729521358443407,0.6670180231136369,0.2391781745038637,0.7368502497345528,0.6112534851260798,0.7376226550571368,0.20901295483130206,0.7445898782514296,0.5925457893693151,0.7701648457282728,0.204104686296074,0.0077396285168768175,-0.018707695756764675,0.03254219067113606,-0.00490826853522805,0.04534979502244996,-0.02657960579725649,0.019244109147891653,-0.015447131278818999,0.053089423539326774,-0.045287301554021164,0.051786299819027715,-0.020355399814047048,0.07363479237988224,-0.06169865071826086,0.07060463194349986,-0.03016521967256164,0.08137442089675906,-0.08040634647502554,0.10314682261463592,-0.03507348820778969,0.028284997357432284,-0.03511904492100437,0.05136052279560821,-0.01471808839374264
11,0.7171664750468403,0.6204358902192508,0.7157989105403342,0.2163562369335086,0.665556868506217,0.6637670806312326,0.6552077562736223,0.234686957127334,0.7467664154317833,0.5984291337200984,0.7329218618755065,0.2057501835117424,0.7579069792198945,0.5832684538369916,0.7579810099593706,0.19991336182669925,0.011140563788111124,-0.015160679883106876,0.025059148083864113,-0.005836821685043153,0.02959994038494307,-0.022006756499152402,0.017122951335172276,-0.01060605342176621,0.04074050417305419,-0.03716743638225928,0.04218209941903639,-0.016442875106809363,0.08120954692556637,-0.06533794691113415,0.07771410560188419,-0.028936773615591604,0.09235011071367749,-0.08049862679424102,0.1027732536857483,-0.03477359530063476,0.0516096065406233,-0.043331190411981746,0.06059115426671191,-0.018330720193825395
12,0.7006124689432022,0.6309543746051129,0.7342541371673427,0.22169809136025345,0.6229481502492423,0.6907423062349228,0.6379233841929386,0.24682130626867635,0.712129091224255,0.633962675447342,0.716024396724688,0.2196050509668537,0.7219228163065917,0.6104530566724808,0.7591420536734275,0.21293009470095803,0.009793725082336668,-0.02350961877486113,0.04311765694873948,-0.006674956265895676,0.01151662228105288,0.003008300842229028,-0.018229740442654685,-0.0020930403933997477,0.021310347363389548,-0.0205013179326321,0.024887916506084795,-0.008767996659295424,0.08918094097501272,-0.05677963078758086,0.07810101253174939,-0.027216255301822645,0.09897466605734939,-0.08028924956244199,0.12121866948048887,-0.03389121156771832,0.07766431869395984,-0.05978793162980989,0.09633075297440408,-0.025123214908422897
13,0.7115735131027684,0.6167582603068071,0.7403232759331271,0.2154399498159566,0.6332354390865029,0.699614101533796,0.6322763313649571,0.2494387723093938,0.7193224759714122,0.6229815370277376,0.73457866500903,0.21577710061094604,0.7389868972315781,0.5954651313951844,0.7709677124558879,0.2060357748821507,0.019664421260165876,-0.027516405632553198,0.03638904744685789,-0.009741325728795353,0.007748962868643794,0.006223276720930482,-0.00574461092409706,0.00033715079498944367,0.02741338412880967,-0.021293128911622716,0.030644436522760832,-0.009404174933805909,0.08608703688490926,-0.07663256450605838,0.10230233364407293,-0.03366167169844775,0.10575145814507514,-0.10414897013861157,0.13869138109093082,-0.0434029974272431,0.07833807401626547,-0.08285584122698886,0.10804694456816999,-0.03399882249343719
14,0.6986299544529508,0.6276883373272478,0.7250547359071754,0.2197563371216404,0.6587278321542785,0.6829305501857522,0.6650460694753662,0.24193439347527962,0.7287600542688245,0.6163507343297733,0.7360436581707432,0.21230069350134373,0.7399215040217075,0.5972171742936072,0.7677567835243175,0.20655405312286,0.011161449752883024,-0.019133560036166064,0.03171312535357429,-0.005746640378483742,0.030130099815873668,-0.01133760299747455,0.010988922263567846,-0.007455643620296659,0.04129154956875669,-0.030471163033640614,0.042702047617142136,-0.0132022839987804,0.07003222211454596,-0.06657981585597894,0.07099758869537709,-0.02963369997393589,0.08119367186742898,-0.085713375892145,0.10271071404895138,-0.03538034035241963,0.03990212229867229,-0.05524221285850439,0.06000866643180924,-0.02217805635363923
15,0.6788819159129331,0.6408018159361802,0.7014556905826321,0.22592723612409388,0.6393541719967292,0.6785073898252088,0.6329711581881374,0.24083773101884343,0.7262354457938909,0.6229985261619964,0.7142957415223583,0.21558981116297624,0.7159365108030962,0.6177139347974473,0.7261504257725556,0.2149750962365427,-0.010298934990794706,-0.005284591364549063,0.011854684250197312,-0.0006147149264335294,0.047353529880957757,-0.017803289774183884,0.012840050939726178,-0.010337424961117642,0.03705459489016305,-0.023087881138732946,0.02469473518992349,-0.010952139887551171,0.0868812737971617,-0.05550886366321239,0.08132458333422088,-0.02524791985586719,0.076582338806367,-0.060793455027761456,0.09317926758441819,-0.02586263478230072,0.03952774391620395,-0.03770557388902851,0.0684845323944947,-0.014910494894749549
16,0.6935269623422278,0.6275462723079865,0.688975904644962,0.2197736974796287,0.6505026657499773,0.6822949783404961,0.6188435772075183,0.24018887821027218,0.724126658796975,0.6218723874699206,0.7027596591140601,0.21550299057420194,0.7381883277769852,0.5980483576212448,0.7339604622389078,0.20657078110904523,0.014061668980010156,-0.02382402984867582,0.03120080312484763,-0.008932209465156715,0.03059969645474725,-0.005673884838065968,0.013783754469098186,-0.004270706905426747,0.044661365434757405,-0.02949791468674179,0.04498455759394582,-0.013202916370583462,0.07362399304699774,-0.060422590870575554,0.08391608190654187,-0.02468588763607024,0.0876856620270079,-0.08424662071925137,0.1151168850313895,-0.03361809710122696,0.04302429659225049,-0.054748706032509586,0.07013232743744369,-0.020415180730643495
17,0.7058002190237798,0.6358704398112088,0.6647002128337977,0.22302605927716937,0.6399822695035461,0.6687621678864359,0.5817396261933317,0.23587083887952523,0.7273258239465998,0.6219556360241651,0.7064690945237634,0.21589985860223093,0.7295421360033375,0.6053981831321709,0.7083526695915148,0.20927226760831877,0.002216312056737668,-0.016557452891994284,0.0018835750677513863,-0.0066275909939121636,0.021525604922820074,-0.013914803787043684,0.04176888168996573,-0.007126200674938438,0.023741916979557742,-0.030472256679037968,0.04365245675771712,-0.013753791668850601,0.08734355444305375,-0.046806531862270795,0.12472946833043164,-0.019970980277294298,0.08955986649979142,-0.06336398475426508,0.12661304339818302,-0.02659857127120646,0.06581794952023368,-0.03289172807522711,0.0829605866404659,-0.01284477960235586
18,0.6705797553183199,0.6352316933074976,0.6962830044886135,0.22421433765358545,0.6590573781137172,0.6678059657201169,0.6419847953120553,0.23691124379189235,0.7052261097690848,0.6451787167503411,0.6964037460567014,0.22349245703791598,0.718190082859295,0.6113928067270229,0.7396205653837855,0.21306775899053026,0.012963973090210135,-0.03378591002331821,0.0432168193270841,-0.010424698047385716,0.034646354450764916,0.009947023442843483,0.00012074156808794534,-0.0007218806156694679,0.04761032754097505,-0.023838886580474727,0.043337560895172045,-0.011146578663055184,0.04616873165536761,-0.02262724896977575,0.05441895074464609,-0.01341878675397637,0.05913270474557775,-0.05641315899309396,0.09763577007173019,-0.023843484801362086,0.011522377204602696,-0.03257427241261923,0.05429820917655814,-0.012696906138306902
19,0.7130657443157443,0.6200335772415637,0.7367509507506234,0.217274614802362,0.6433665808665807,0.692910118339871,0.637167366717236,0.2450063471592471,0.7312365937365938,0.6142007920252942,0.7281652893084632,0.2110717925273763,0.7449565637065637,0.5905384273732772,0.7747507002394214,0.2040338421007081,0.013719969969969936,-0.023662364652016987,0.04658541093095814,-0.007037950426668188,0.018170849420849455,-0.005832785216269509,-0.008585661442160109,-0.006202822274985698,0.03189081939081939,-0.029495149868286497,0.03799974948879803,-0.013240772701653886,0.08787001287001306,-0.07870932631457683,0.0909979225912273,-0.03393455463187081,0.101589982839983,-0.10237169096659382,0.13758333352218544,-0.040972505058539,0.0696991634491636,-0.07287654109830732,0.0995835840333874,-0.027731732356885114
