architecture,n_observations,n_patients,prevalence,auc,bce,ap,brier,brier_skill_score
local,1253,657,0.49561053471668,0.6974701379971054,0.6320301433363082,0.7078046506243545,0.22174014539314413,0.11297105544205754
global,1253,657,0.49561053471668,0.6463454717788786,0.6784553374699681,0.6247693957087681,0.2403106241870628,0.03868341494601846
symmetric,1253,657,0.49561053471668,0.7239828573758127,0.6235186924691205,0.7132518492804336,0.21561475489804108,0.13747450589413124
residual,1253,657,0.49561053471668,0.73300515705579,0.6023581496313186,0.7454216813255861,0.20846789461162796,0.16606415043287837
prevalence_baseline,1253,657,0.49561053471668,0.5,0.6931086452540058,0.49561053471668,0.24998073259452655,0.0
