quantity,estimate,ci_2.5,ci_97.5
local_auc,0.6974701379971054,0.6627449593962065,0.7299680455850119
local_bce,0.6320301433363082,0.6115105787167571,0.6531653524417768
local_ap,0.7078046506243545,0.6602818368688504,0.7518676609792474
local_brier,0.22174014539314413,0.2130476273616995,0.2306774229578167
global_auc,0.6463454717788786,0.6049794277670234,0.6868684288656538
global_bce,0.6784553374699681,0.647113605724673,0.7104829774766029
global_ap,0.6247693957087681,0.568824872261398,0.6808849943268228
global_brier,0.2403106241870628,0.22725236785808348,0.25346323392371395
symmetric_auc,0.7239828573758127,0.6896610284839252,0.7567093733442943
symmetric_bce,0.6235186924691205,0.5918099497277215,0.6565842897202228
symmetric_ap,0.7132518492804336,0.6637814769915563,0.7589675541576549
symmetric_brier,0.21561475489804108,0.20218285964899912,0.22947941012631992
residual_auc,0.73300515705579,0.6987764007111102,0.7653613500571192
residual_bce,0.6023581496313186,0.5759302461148396,0.6297221910196974
residual_ap,0.7454216813255861,0.7002147160692838,0.7865813958819459
residual_brier,0.20846789461162796,0.1970189338047383,0.22032628570671697
delta_residual_minus_symmetric_auc,0.009022299679977253,-0.007865981575520709,0.026086264355692862
delta_residual_minus_symmetric_bce,-0.021160542837801888,-0.03933996780334474,-0.002923488398869218
delta_residual_minus_symmetric_ap,0.03216983204515245,0.0045467297524756254,0.05930813451508168
delta_residual_minus_symmetric_brier,-0.00714686028641312,-0.014337629205104997,0.0001297465098716786
delta_symmetric_minus_local_auc,0.02651271937870725,-0.004422094258540634,0.057222665598884656
delta_symmetric_minus_local_bce,-0.008511450867187742,-0.037418972012115165,0.020147812157859175
delta_symmetric_minus_local_ap,0.005447198656079122,-0.03466155134993682,0.04613873103172042
delta_symmetric_minus_local_brier,-0.00612539049510305,-0.018154810428027083,0.005865190052585304
delta_residual_minus_local_auc,0.0355350190586845,0.011553745512264457,0.0600971378168876
delta_residual_minus_local_bce,-0.02967199370498963,-0.04770930807542105,-0.011422296618955134
delta_residual_minus_local_ap,0.03761703070123157,0.016205658147353537,0.058849576169812644
delta_residual_minus_local_brier,-0.01327225078151617,-0.02157957407015162,-0.004934200588742822
delta_symmetric_minus_global_auc,0.07763738559693412,0.04509941600802841,0.11044789877540641
delta_symmetric_minus_global_bce,-0.054936645000847606,-0.08812225809371108,-0.020849378174036867
delta_symmetric_minus_global_ap,0.08848245357166551,0.05254245859863543,0.12337559107902306
delta_symmetric_minus_global_brier,-0.024695869289021732,-0.03823078808005953,-0.010624165579662673
delta_residual_minus_global_auc,0.08665968527691137,0.049241054473623716,0.12262811485664178
delta_residual_minus_global_bce,-0.0760971878386495,-0.10702079077176911,-0.04466778857291145
delta_residual_minus_global_ap,0.12065228561681796,0.0749123841421974,0.16452534801502516
delta_residual_minus_global_brier,-0.03184272957543485,-0.04424244655602113,-0.018877427665567527
delta_local_minus_global_auc,0.051124666218226866,-0.0006302547098120553,0.10214791665900155
delta_local_minus_global_bce,-0.046425194133659864,-0.08297770637408237,-0.008361314449414271
delta_local_minus_global_ap,0.08303525491558639,0.02636863597271082,0.13755108866939617
delta_local_minus_global_brier,-0.018570478793918682,-0.03397180469115522,-0.002585252034425279
