epoch,accuracy,auc,learning_rate,loss,pr_auc,precision_40,precision_45,precision_50,precision_55,recall_40,recall_45,recall_50,recall_55,val_accuracy,val_auc,val_loss,val_pr_auc,val_precision_40,val_precision_45,val_precision_50,val_precision_55,val_recall_40,val_recall_45,val_recall_50,val_recall_55
0,0.5239999890327454,0.5265824794769287,9.999999747378752e-05,0.8007510900497437,0.5282628536224365,0.4988066852092743,0.5018773674964905,0.5235042572021484,0.523809552192688,0.8393574357032776,0.805220901966095,0.4919678568840027,0.2208835333585739,0.5098814368247986,0.5081613659858704,0.6917110681533813,0.48913511633872986,0.4897959232330322,0.49152541160583496,0.3333333432674408,1.0,0.9756097793579102,0.9430894255638123,0.008130080997943878,0.008130080997943878
1,0.5249999761581421,0.5428386926651001,9.999999747378752e-05,0.6850155591964722,0.5295388698577881,0.5102702975273132,0.5151855945587158,0.5225933194160461,1.0,0.9477911591529846,0.9196786880493164,0.5341365337371826,0.0060240961611270905,0.5415019989013672,0.5596309900283813,0.6900916695594788,0.5285710096359253,0.5189189314842224,0.5211267471313477,0.5384615659713745,0.5,0.7804877758026123,0.6016260385513306,0.3983739912509918,0.008130080997943878
2,0.5410000085830688,0.5782832503318787,9.999999747378752e-05,0.6849918365478516,0.5806654691696167,0.5116022229194641,0.5159817337989807,0.5229142308235168,0.6581196784973145,0.9297188520431519,0.9076305031776428,0.8935742974281311,0.15461847186088562,0.5138339996337891,0.6532832980155945,0.6773812174797058,0.6203352212905884,0.4859437644481659,0.4918699264526367,0.5,0.671875,0.9837398529052734,0.9837398529052734,0.9593495726585388,0.34959349036216736
3,0.5870000123977661,0.6393322348594666,9.999999747378752e-05,0.6479066610336304,0.6519778370857239,0.5439229607582092,0.5465995073318481,0.5558475852012634,0.7106918096542358,0.9076305031776428,0.8714859485626221,0.849397599697113,0.2269076257944107,0.5138339996337891,0.6596934795379639,0.6713570356369019,0.6523020267486572,0.4879032373428345,0.4855967164039612,0.5,0.6499999761581421,0.9837398529052734,0.9593495726585388,0.9430894255638123,0.42276424169540405
4,0.5429999828338623,0.6177499294281006,9.999999747378752e-05,0.6484349370002747,0.6544567346572876,0.5211581587791443,0.5232163071632385,0.523754358291626,0.6936936974525452,0.9397590160369873,0.9277108311653137,0.9076305031776428,0.30923694372177124,0.4940711557865143,0.6322389245033264,0.6769746541976929,0.6544861793518066,0.488095223903656,0.488095223903656,0.48995983600616455,0.8148148059844971,1.0,1.0,0.9918699264526367,0.17886178195476532
5,0.5759999752044678,0.6616425514221191,9.999999747378752e-05,0.6271443367004395,0.6821249723434448,0.5435540080070496,0.5482717752456665,0.5860465168952942,0.7416267991065979,0.9397590160369873,0.9236947894096375,0.5060241222381592,0.31124499440193176,0.6640316247940063,0.6876797080039978,0.6545613408088684,0.6830896735191345,0.49367088079452515,0.5116279125213623,0.6532257795333862,0.6813187003135681,0.9512194991111755,0.8943089246749878,0.6585366129875183,0.5040650367736816
6,0.6019999980926514,0.6715967655181885,9.999999747378752e-05,0.6237664818763733,0.6880334615707397,0.5543345808982849,0.5600505471229553,0.6879699230194092,0.730434775352478,0.9116466045379639,0.8895582556724548,0.3674698770046234,0.33734938502311707,0.6166008114814758,0.7365853786468506,0.655587911605835,0.6982401013374329,0.4938271641731262,0.5021276473999023,0.5691489577293396,0.6274510025978088,0.9756097793579102,0.9593495726585388,0.869918704032898,0.7804877758026123
7,0.6430000066757202,0.7357997894287109,9.999999747378752e-05,0.5791181921958923,0.746879518032074,0.5921052694320679,0.6013698577880859,0.7473683953285217,0.7843137383460999,0.9036144614219666,0.8815261125564575,0.4277108311653137,0.4016064405441284,0.6442687511444092,0.7007191777229309,0.6398096084594727,0.6630931496620178,0.5649717450141907,0.5906040072441101,0.6410256624221802,0.7356321811676025,0.8130081295967102,0.7154471278190613,0.6097561120986938,0.5203251838684082
8,0.6389999985694885,0.7293056845664978,9.999999747378752e-05,0.5830382108688354,0.7389514446258545,0.5841968655586243,0.5929918885231018,0.7455196976661682,0.7689242959022522,0.9056224822998047,0.8835341334342957,0.41767069697380066,0.3875502049922943,0.6679841876029968,0.7389931082725525,0.6308603882789612,0.6961642503738403,0.5432692170143127,0.5909090638160706,0.625806450843811,0.6642335653305054,0.9186992049217224,0.8455284833908081,0.7886179089546204,0.7398374080657959
9,0.6230000257492065,0.7199856042861938,9.999999747378752e-05,0.5773885846138,0.7274711728096008,0.5896773934364319,0.5901201367378235,0.6074600219726562,0.7438016533851624,0.9176706671714783,0.8875501751899719,0.6867470145225525,0.3614457845687866,0.5652173757553101,0.7324890494346619,0.6435391902923584,0.7151164412498474,0.4979253113269806,0.5155555605888367,0.5317073464393616,0.6554622054100037,0.9756097793579102,0.9430894255638123,0.8861788511276245,0.6341463327407837
10,0.6349999904632568,0.7504639625549316,9.999999747378752e-05,0.5517354011535645,0.773434042930603,0.5917843580245972,0.5955497622489929,0.6193895936012268,0.8159999847412109,0.9257028102874756,0.913654625415802,0.6927710771560669,0.40963855385780334,0.695652186870575,0.7476860284805298,0.6090368032455444,0.7154771089553833,0.5892857313156128,0.6482758522033691,0.6769230961799622,0.7628865838050842,0.8048780560493469,0.7642276287078857,0.7154471278190613,0.6016260385513306
11,0.6449999809265137,0.7517520785331726,9.999999747378752e-05,0.5494853854179382,0.776976466178894,0.5847133994102478,0.587533175945282,0.6261022686958313,0.8249027132987976,0.9216867685317993,0.8895582556724548,0.7128514051437378,0.4257028102874756,0.7035573124885559,0.7523452043533325,0.6124005913734436,0.7434760928153992,0.5661375522613525,0.6024096608161926,0.7264150977134705,0.800000011920929,0.869918704032898,0.8130081295967102,0.6260162591934204,0.5203251838684082
12,0.6399999856948853,0.7517399787902832,9.999999747378752e-05,0.5507513284683228,0.7693113088607788,0.6007802486419678,0.6010638475418091,0.6380000114440918,0.811965823173523,0.9277108311653137,0.9076305031776428,0.6405622363090515,0.3815261125564575,0.6837944388389587,0.7574108839035034,0.6014148592948914,0.7488443851470947,0.5806451439857483,0.5892857313156128,0.652482271194458,0.6974790096282959,0.8780487775802612,0.8048780560493469,0.7479674816131592,0.6747967600822449
13,0.6349999904632568,0.7481600046157837,9.999999747378752e-05,0.5468684434890747,0.7708849906921387,0.5898089408874512,0.5909090638160706,0.6852367520332336,0.7938931584358215,0.9297188520431519,0.913654625415802,0.4939759075641632,0.41767069697380066,0.7272727489471436,0.7613508105278015,0.5975107550621033,0.7525153160095215,0.5963855385780334,0.6283783912658691,0.7410714030265808,0.7446808218955994,0.8048780560493469,0.7560975551605225,0.6747967600822449,0.5691056847572327
14,0.6650000214576721,0.7655003070831299,9.999999747378752e-05,0.5332605242729187,0.7878425717353821,0.6073781251907349,0.6114130616188049,0.8029739856719971,0.8455284833908081,0.9257028102874756,0.9036144614219666,0.4337349534034729,0.41767069697380066,0.6719367504119873,0.7423076629638672,0.6116788983345032,0.7322133779525757,0.5846994519233704,0.5952380895614624,0.6388888955116272,0.6803278923034668,0.869918704032898,0.8130081295967102,0.7479674816131592,0.6747967600822449
15,0.6620000004768372,0.7795184254646301,9.999999747378752e-05,0.5183489918708801,0.794167160987854,0.6180371642112732,0.6212121248245239,0.7919707894325256,0.8192771077156067,0.935742974281311,0.9056224822998047,0.43574297428131104,0.40963855385780334,0.6996047496795654,0.7456222772598267,0.6041328310966492,0.7383360862731934,0.6666666865348816,0.7289719581604004,0.7640449404716492,0.8026315569877625,0.6991869807243347,0.6341463327407837,0.5528455376625061,0.49593496322631836
16,0.6800000071525574,0.7863426208496094,9.999999747378752e-05,0.5104943513870239,0.8085348010063171,0.6137565970420837,0.6159029603004456,0.8248175382614136,0.8759999871253967,0.9317269325256348,0.9176706671714783,0.4538152515888214,0.4397590458393097,0.695652186870575,0.7380237579345703,0.6060253381729126,0.717841625213623,0.6641221642494202,0.6942148804664612,0.7254902124404907,0.7727272510528564,0.707317054271698,0.6829268336296082,0.6016260385513306,0.5528455376625061
17,0.6759999990463257,0.7822405099868774,1.9999999494757503e-05,0.5100932121276855,0.8054044842720032,0.6136363744735718,0.6121045351028442,0.791946291923523,0.8345588445663452,0.9216867685317993,0.8935742974281311,0.4738955795764923,0.45582330226898193,0.687747061252594,0.7377110719680786,0.608400821685791,0.7174032330513,0.5868263244628906,0.6275861859321594,0.6774193644523621,0.7102803587913513,0.7967479825019836,0.7398374080657959,0.6829268336296082,0.6178861856460571
18,0.6809999942779541,0.787712574005127,1.9999999494757503e-05,0.5066502690315247,0.8092167377471924,0.6135770082473755,0.612817108631134,0.8352059721946716,0.8825910687446594,0.9437751173973083,0.9216867685317993,0.4477911591529846,0.43775099515914917,0.695652186870575,0.7414946556091309,0.6022984385490417,0.7188072204589844,0.6158940196037292,0.682170569896698,0.6916666626930237,0.7326732873916626,0.7560975551605225,0.7154471278190613,0.6747967600822449,0.6016260385513306
19,0.6779999732971191,0.798402726650238,1.9999999494757503e-05,0.4931236803531647,0.8142271041870117,0.636239767074585,0.6337047219276428,0.8098591566085815,0.8441064357757568,0.9377509951591492,0.913654625415802,0.4618473947048187,0.4457831382751465,0.6798418760299683,0.740431547164917,0.6085192561149597,0.7210244536399841,0.5952380895614624,0.6133333444595337,0.6666666865348816,0.6936936974525452,0.8130081295967102,0.7479674816131592,0.6829268336296082,0.6260162591934204
