epoch,accuracy,auc,learning_rate,loss,precision_40,precision_50,recall_40,recall_50,val_accuracy,val_auc,val_loss,val_precision_40,val_precision_50,val_recall_40,val_recall_50
0,0.5144278407096863,0.4987444579601288,9.999999747378752e-05,0.7631808519363403,0.47705313563346863,0.4930875599384308,0.819502055644989,0.44398340582847595,0.5887096524238586,0.6077486276626587,0.7107981443405151,0.5604838728904724,0.5948718190193176,1.0,0.8345323801040649
1,0.5124378204345703,0.5048555135726929,9.999999747378752e-05,0.7166608572006226,0.4808467626571655,0.4918367266654968,0.9896265268325806,0.5,0.5604838728904724,0.5995643734931946,0.6986954212188721,0.5604838728904724,0.5625,1.0,0.971222996711731
2,0.49850746989250183,0.49703872203826904,9.999999747378752e-05,0.7153428196907043,0.4779999852180481,0.47924527525901794,0.9917012453079224,0.5269709825515747,0.5564516186714172,0.560623049736023,0.7090006470680237,0.5604838728904724,0.5828571319580078,1.0,0.7338129281997681
3,0.5592039823532104,0.5421780347824097,9.999999747378752e-05,0.7061156630516052,0.4770173728466034,0.5719557404518127,0.9688796401023865,0.3215767741203308,0.5766128897666931,0.5965612530708313,0.7002877593040466,0.5604838728904724,0.5809524059295654,1.0,0.8776978254318237
4,0.5353233814239502,0.5434712767601013,4.999999873689376e-05,0.7083714604377747,0.47777777910232544,0.514177680015564,0.9813277721405029,0.5643153786659241,0.5604838728904724,0.5744175910949707,0.707632303237915,0.5604838728904724,0.6000000238418579,1.0,0.6474820375442505
5,0.5562189221382141,0.5791693925857544,4.999999873689376e-05,0.7006000876426697,0.48651450872421265,0.5373443961143494,0.9730290174484253,0.5373443961143494,0.5685483813285828,0.589862048625946,0.7000787854194641,0.5625,0.5808081030845642,0.971222996711731,0.8273381590843201
6,0.5482587218284607,0.5746709108352661,4.999999873689376e-05,0.6961492896080017,0.4919957220554352,0.5327102541923523,0.95643150806427,0.4730290472507477,0.5483871102333069,0.5878159999847412,0.7103634476661682,0.5784753561019897,0.6421052813529968,0.9280575513839722,0.43884891271591187
7,0.553233802318573,0.5757063627243042,2.499999936844688e-05,0.6940382122993469,0.4994535446166992,0.533880889415741,0.9481327533721924,0.5394191145896912,0.5725806355476379,0.5907530784606934,0.707232654094696,0.5803571343421936,0.6259542107582092,0.935251772403717,0.5899280309677124
8,0.551243782043457,0.5796850919723511,2.499999936844688e-05,0.694179356098175,0.5011037588119507,0.5288640856742859,0.9419087171554565,0.589211642742157,0.5806451439857483,0.5991683006286621,0.7039341330528259,0.5803571343421936,0.6100628972053528,0.935251772403717,0.6978417038917542
9,0.5681592226028442,0.6262961626052856,2.499999936844688e-05,0.6855041980743408,0.5048438906669617,0.5430107712745667,0.9730290174484253,0.6286306977272034,0.47580644488334656,0.57745361328125,0.726184070110321,0.5769230723381042,0.695652186870575,0.8633093237876892,0.11510791629552841
10,0.5482587218284607,0.582541286945343,1.249999968422344e-05,0.6910076141357422,0.5109320878982544,0.5296609997749329,0.9211618304252625,0.5186722278594971,0.524193525314331,0.5849118828773499,0.7157537341117859,0.5813953280448914,0.6615384817123413,0.8992805480957031,0.3093525171279907
