epoch,accuracy,auc,learning_rate,loss,precision_40,precision_50,recall_40,recall_50,val_accuracy,val_auc,val_loss,val_precision_40,val_precision_50,val_recall_40,val_recall_50
0,0.5004975199699402,0.49412497878074646,9.999999747378752e-05,0.7491875886917114,0.4821428656578064,0.4779735803604126,0.8402489423751831,0.4502074718475342,0.5604838728904724,0.6028314828872681,0.7128847241401672,0.5604838728904724,0.5604838728904724,1.0,1.0
1,0.5203980207443237,0.5225676894187927,9.999999747378752e-05,0.7183099985122681,0.47785788774490356,0.5,0.9626556038856506,0.3838174343109131,0.4395161271095276,0.43000462651252747,0.7236655950546265,0.5604838728904724,0.0,1.0,0.0
2,0.5004975199699402,0.49883174896240234,9.999999747378752e-05,0.7225279808044434,0.47883063554763794,0.4826989471912384,0.9854771494865417,0.5788381695747375,0.44354838132858276,0.5876839756965637,0.7169318199157715,0.5604838728904724,0.5714285969734192,1.0,0.028776979073882103
3,0.49850746989250183,0.4997560381889343,9.999999747378752e-05,0.7178412079811096,0.48364007472991943,0.4691011309623718,0.9813277721405029,0.3464730381965637,0.5927419066429138,0.630717396736145,0.7088492512702942,0.5818965435028076,0.5913461446762085,0.971222996711731,0.8848921060562134
4,0.5104477405548096,0.5146418213844299,9.999999747378752e-05,0.7137798070907593,0.4910053014755249,0.489130437374115,0.9626556038856506,0.46680498123168945,0.6129032373428345,0.563362181186676,0.7135404944419861,0.5822222232818604,0.6214689016342163,0.9424460530281067,0.7913669347763062
5,0.5363184213638306,0.5567604303359985,9.999999747378752e-05,0.7073397636413574,0.4941176474094391,0.5161290168762207,0.9585062265396118,0.5311203598976135,0.5967742204666138,0.6051746010780334,0.7101724147796631,0.5796459913253784,0.5960590839385986,0.9424460530281067,0.8705036044120789
6,0.516417920589447,0.5360016226768494,9.999999747378752e-05,0.7087660431861877,0.49678799510002136,0.49669966101646423,0.9626556038856506,0.6244813203811646,0.5887096524238586,0.6108177900314331,0.7078579068183899,0.5833333134651184,0.5893719792366028,0.9568345546722412,0.8776978254318237
7,0.5263681411743164,0.5530295372009277,4.999999873689376e-05,0.706412672996521,0.49204665422439575,0.5053763389587402,0.9626556038856506,0.5850622653961182,0.4395161271095276,0.5356742143630981,0.7138187885284424,0.5833333134651184,0.0,0.9568345546722412,0.0
8,0.5233830809593201,0.5460100769996643,4.999999873689376e-05,0.7062832117080688,0.49468085169792175,0.5035799741744995,0.9647302627563477,0.4377593398094177,0.5927419066429138,0.6099927425384521,0.7093973755836487,0.5833333134651184,0.594059407711029,0.9568345546722412,0.8633093237876892
9,0.5034825801849365,0.5347996354103088,4.999999873689376e-05,0.7067081332206726,0.49466949701309204,0.47578346729278564,0.9626556038856506,0.3464730381965637,0.600806474685669,0.6009834408760071,0.709319531917572,0.5796459913253784,0.5990098714828491,0.9424460530281067,0.8705036044120789
10,0.5393034815788269,0.5632998943328857,2.499999936844688e-05,0.7048511505126953,0.499459445476532,0.5183752179145813,0.9585062265396118,0.5560166239738464,0.5967742204666138,0.6090027093887329,0.7088810205459595,0.5796459913253784,0.5960590839385986,0.9424460530281067,0.8705036044120789
11,0.5273631811141968,0.555538535118103,2.499999936844688e-05,0.7044304013252258,0.4957173466682434,0.5064935088157654,0.9605808854103088,0.5663900375366211,0.5927419066429138,0.6139198541641235,0.7083640098571777,0.5814977884292603,0.594059407711029,0.9496402740478516,0.8633093237876892
12,0.5432835817337036,0.5709301829338074,2.499999936844688e-05,0.7015805244445801,0.49627262353897095,0.5220729112625122,0.9668049812316895,0.5643153786659241,0.5927419066429138,0.6107187867164612,0.7082445025444031,0.5814977884292603,0.593137264251709,0.9496402740478516,0.8705036044120789
13,0.5124378204345703,0.5334211587905884,1.249999968422344e-05,0.7057082653045654,0.49946409463882446,0.4930555522441864,0.9668049812316895,0.589211642742157,0.5927419066429138,0.6106857061386108,0.7081965804100037,0.5814977884292603,0.593137264251709,0.9496402740478516,0.8705036044120789
