head_type,best_epoch,train_auc,validation_auc,test_auc,train_loss,validation_loss,test_loss,test_accuracy,test_probability_min,test_probability_max,test_probability_mean,test_probability_std,parameter_count,checkpoint
gap,4,0.5810814499855042,0.630717396736145,0.5789021849632263,0.7082281112670898,0.7088492512702942,0.7045192718505859,0.4931506812572479,0.224001944065094,0.5165252089500427,0.49157053232192993,0.0535389743745327,409025,trained_models/model_local_crop598_gap.keras
spatial,1,0.6277718544006348,0.6077486276626587,0.6234787702560425,0.7110679745674133,0.7107981443405151,0.7135945558547974,0.4986301362514496,0.4614638388156891,0.5247101187705994,0.5057613253593445,0.009007538668811321,1064385,trained_models/model_local_crop598_spatial.keras
