threshold,accuracy,balanced_accuracy,precision,recall,sensitivity,specificity,negative_predictive_value,f1,youden_j,true_negative,false_positive,false_negative,true_positive
0.18499999999999997,0.5573122529644269,0.5672607879924954,0.5253456221198156,0.926829268292683,0.926829268292683,0.2076923076923077,0.75,0.6705882352941176,0.1345215759849907,27,103,9,114
0.18999999999999997,0.5652173913043478,0.574953095684803,0.5302325581395348,0.926829268292683,0.926829268292683,0.2230769230769231,0.7631578947368421,0.6745562130177515,0.14990619136960603,29,101,9,114
0.19499999999999998,0.5652173913043478,0.574953095684803,0.5302325581395348,0.926829268292683,0.926829268292683,0.2230769230769231,0.7631578947368421,0.6745562130177515,0.14990619136960603,29,101,9,114
0.19999999999999998,0.5849802371541502,0.5941838649155723,0.5428571428571428,0.926829268292683,0.926829268292683,0.26153846153846155,0.7906976744186046,0.6846846846846847,0.18836772983114458,34,96,9,114
0.205,0.5928853754940712,0.60187617260788,0.5480769230769231,0.926829268292683,0.926829268292683,0.27692307692307694,0.8,0.6888217522658611,0.2037523452157599,36,94,9,114
0.20999999999999996,0.6047430830039525,0.6134146341463415,0.5560975609756098,0.926829268292683,0.926829268292683,0.3,0.8125,0.6951219512195121,0.2268292682926829,39,91,9,114
0.21499999999999997,0.6126482213438735,0.6211069418386492,0.5615763546798029,0.926829268292683,0.926829268292683,0.3153846153846154,0.82,0.6993865030674846,0.24221388367729846,41,89,9,114
0.21999999999999997,0.6324110671936759,0.6403377110694184,0.5757575757575758,0.926829268292683,0.926829268292683,0.35384615384615387,0.8363636363636363,0.7102803738317757,0.2806754221388368,46,84,9,114
0.22499999999999998,0.6324110671936759,0.6403377110694184,0.5757575757575758,0.926829268292683,0.926829268292683,0.35384615384615387,0.8363636363636363,0.7102803738317757,0.2806754221388368,46,84,9,114
0.22999999999999998,0.616600790513834,0.6240775484677924,0.5670103092783505,0.8943089430894309,0.8943089430894309,0.35384615384615387,0.7796610169491526,0.694006309148265,0.2481550969355848,46,84,13,110
0.235,0.6245059288537549,0.6317698561601001,0.5729166666666666,0.8943089430894309,0.8943089430894309,0.36923076923076925,0.7868852459016393,0.6984126984126984,0.2635397123202001,48,82,13,110
0.23999999999999996,0.6284584980237155,0.6356160100062539,0.5759162303664922,0.8943089430894309,0.8943089430894309,0.3769230769230769,0.7903225806451613,0.7006369426751592,0.2712320200125078,49,81,13,110
0.24499999999999997,0.6442687747035574,0.6510006253908693,0.5882352941176471,0.8943089430894309,0.8943089430894309,0.4076923076923077,0.803030303030303,0.7096774193548387,0.3020012507817387,53,77,13,110
0.24999999999999997,0.6482213438735178,0.6548467792370232,0.5913978494623656,0.8943089430894309,0.8943089430894309,0.4153846153846154,0.8059701492537313,0.7119741100323624,0.30969355847404634,54,76,13,110
0.25499999999999995,0.6640316205533597,0.6697936210131332,0.6067415730337079,0.8780487804878049,0.8780487804878049,0.46153846153846156,0.8,0.717607973421927,0.33958724202626644,60,70,15,108
0.25999999999999995,0.6758893280632411,0.6808943089430894,0.6198830409356725,0.8617886178861789,0.8617886178861789,0.5,0.7926829268292683,0.7210884353741497,0.3617886178861789,65,65,17,106
0.26499999999999996,0.6877470355731226,0.6924327704815509,0.6309523809523809,0.8617886178861789,0.8617886178861789,0.5230769230769231,0.8,0.7285223367697594,0.3848655409631019,68,62,17,106
0.26999999999999996,0.6758893280632411,0.6802376485303314,0.6242424242424243,0.8373983739837398,0.8373983739837398,0.5230769230769231,0.7727272727272727,0.7152777777777778,0.36047529706066284,68,62,20,103
0.27499999999999997,0.6798418972332015,0.6838649155722326,0.6296296296296297,0.8292682926829268,0.8292682926829268,0.5384615384615384,0.7692307692307693,0.7157894736842105,0.3677298311444652,70,60,21,102
0.27999999999999997,0.6798418972332015,0.68364602876798,0.63125,0.8211382113821138,0.8211382113821138,0.5461538461538461,0.7634408602150538,0.7137809187279152,0.36729205753595995,71,59,22,101
0.285,0.6837944664031621,0.6874921826141338,0.6352201257861635,0.8211382113821138,0.8211382113821138,0.5538461538461539,0.7659574468085106,0.7163120567375887,0.3749843652282676,72,58,22,101
0.29,0.691699604743083,0.6951844903064415,0.643312101910828,0.8211382113821138,0.8211382113821138,0.5692307692307692,0.7708333333333334,0.7214285714285714,0.39036898061288294,74,56,22,101
0.295,0.6877470355731226,0.691119449656035,0.6410256410256411,0.8130081300813008,0.8130081300813008,0.5692307692307692,0.7628865979381443,0.7168458781362007,0.38223889931207,74,56,23,100
0.3,0.6837944664031621,0.6870544090056285,0.6387096774193548,0.8048780487804879,0.8048780487804879,0.5692307692307692,0.7551020408163265,0.7122302158273381,0.37410881801125706,74,56,24,99
0.30499999999999994,0.6758893280632411,0.6789243277048155,0.6339869281045751,0.7886178861788617,0.7886178861788617,0.5692307692307692,0.74,0.7028985507246377,0.35784865540963096,74,56,26,97
0.30999999999999994,0.6798418972332015,0.6827704815509693,0.6381578947368421,0.7886178861788617,0.7886178861788617,0.5769230769230769,0.7425742574257426,0.7054545454545454,0.3655409631019386,75,55,26,97
0.31499999999999995,0.691699604743083,0.6940900562851782,0.6530612244897959,0.7804878048780488,0.7804878048780488,0.6076923076923076,0.7452830188679245,0.7111111111111111,0.38818011257035634,79,51,27,96
0.31999999999999995,0.691699604743083,0.6936522826766729,0.6573426573426573,0.7642276422764228,0.7642276422764228,0.6230769230769231,0.7363636363636363,0.706766917293233,0.3873045653533458,81,49,29,94
0.32499999999999996,0.6996047430830039,0.7013445903689806,0.6666666666666666,0.7642276422764228,0.7642276422764228,0.6384615384615384,0.7410714285714286,0.7121212121212122,0.4026891807379611,83,47,29,94
0.32999999999999996,0.6996047430830039,0.7013445903689806,0.6666666666666666,0.7642276422764228,0.7642276422764228,0.6384615384615384,0.7410714285714286,0.7121212121212122,0.4026891807379611,83,47,29,94
