epoch,accuracy,auc,loss,precision_35,precision_40,precision_45,precision_50,recall_35,recall_40,recall_45,recall_50,val_accuracy,val_auc,val_loss,val_precision_35,val_precision_40,val_precision_45,val_precision_50,val_recall_35,val_recall_40,val_recall_45,val_recall_50
0,0.5442764759063721,0.5539156198501587,0.7041639685630798,0.5162037014961243,0.5180288553237915,0.5144357085227966,0.539383590221405,0.9529914259910583,0.9209401607513428,0.8376068472862244,0.6730769276618958,0.5249999761581421,0.5402889251708984,0.6904083490371704,0.49166667461395264,0.49166667461395264,0.5027027130126953,0.5333333611488342,1.0,1.0,0.7881355881690979,0.2711864411830902
1,0.542116641998291,0.5446175336837769,0.6932913064956665,0.5060109496116638,0.5050962567329407,0.5121638774871826,0.557894766330719,0.9893162250518799,0.9529914259910583,0.8547008633613586,0.45299145579338074,0.5458333492279053,0.5532092452049255,0.6913944482803345,0.49166667461395264,0.49166667461395264,0.49166667461395264,0.5306122303009033,1.0,1.0,1.0,0.6610169410705566
2,0.5388768911361694,0.5597894191741943,0.6879242658615112,0.5053995847702026,0.5070575475692749,0.5184744000434875,0.534223735332489,1.0,0.997863233089447,0.9294871687889099,0.6837607026100159,0.5458333492279053,0.5642886757850647,0.6875887513160706,0.49166667461395264,0.49166667461395264,0.5077720284461975,0.5354330539703369,1.0,1.0,0.8305084705352783,0.5762711763381958
3,0.5388768911361694,0.5597054362297058,0.6875836253166199,0.5083056688308716,0.5141176581382751,0.51871657371521,0.5386064052581787,0.9807692170143127,0.9337607026100159,0.8290598392486572,0.6111111044883728,0.5375000238418579,0.5768963098526001,0.6880509853363037,0.49166667461395264,0.49166667461395264,0.49166667461395264,0.5228758454322815,1.0,1.0,1.0,0.6779661178588867
4,0.5561555027961731,0.5958155989646912,0.6820706129074097,0.5059459209442139,0.5060505867004395,0.5192770957946777,0.5458937287330627,1.0,0.9829059839248657,0.9209401607513428,0.7243589758872986,0.5541666746139526,0.5708877444267273,0.6850959658622742,0.49166667461395264,0.4937238395214081,0.5101010203361511,0.540145993232727,1.0,1.0,0.8559321761131287,0.6271186470985413
5,0.5550755858421326,0.5970425605773926,0.6787179112434387,0.507119357585907,0.5202780961990356,0.5419532060623169,0.5509091019630432,0.9893162250518799,0.9594017267227173,0.8418803215026855,0.6474359035491943,0.6000000238418579,0.5961030721664429,0.6825268864631653,0.49166667461395264,0.4937238395214081,0.5199999809265137,0.6000000238418579,1.0,1.0,0.8813559412956238,0.5593220591545105
6,0.5626350045204163,0.602279543876648,0.6768825054168701,0.5087527632713318,0.5218893885612488,0.5428176522254944,0.56046062707901,0.9935897588729858,0.9679487347602844,0.8397436141967773,0.6239316463470459,0.5083333253860474,0.5841205716133118,0.685919463634491,0.49166667461395264,0.49568966031074524,0.5680000185966492,0.5,1.0,0.9745762944221497,0.6016949415206909,0.2118644118309021
7,0.5766738653182983,0.6384130120277405,0.6643482446670532,0.5081788301467896,0.5141884088516235,0.5485175251960754,0.5711610317230225,0.995726466178894,0.9679487347602844,0.8696581125259399,0.6517093777656555,0.5541666746139526,0.5756112337112427,0.6888083219528198,0.4937238395214081,0.497854083776474,0.523809552192688,0.5350318551063538,1.0,0.9830508232116699,0.8389830589294434,0.7118644118309021
8,0.5993520617485046,0.6445456743240356,0.6595029830932617,0.5189003348350525,0.5386565327644348,0.5654135346412659,0.5934489369392395,0.9679487347602844,0.9081196784973145,0.8034188151359558,0.6581196784973145,0.5333333611488342,0.6006529331207275,0.6854504346847534,0.4910714328289032,0.550000011920929,0.594059407711029,0.5535714030265808,0.9322034120559692,0.7457627058029175,0.508474588394165,0.26271185278892517
9,0.6004319787025452,0.6558569669723511,0.657316267490387,0.5395858883857727,0.551581859588623,0.5889261960983276,0.611872136592865,0.9465811848640442,0.8568376302719116,0.75,0.5726495981216431,0.5833333134651184,0.608710765838623,0.675716757774353,0.4895397424697876,0.4955752193927765,0.5388888716697693,0.5714285969734192,0.991525411605835,0.9491525292396545,0.8220338821411133,0.6101694703102112
10,0.6166306734085083,0.6726289987564087,0.647860586643219,0.5221339464187622,0.5326876640319824,0.5564853549003601,0.5972461104393005,0.9829059839248657,0.94017094373703,0.8525640964508057,0.7414529919624329,0.5791666507720947,0.6111419796943665,0.6746535897254944,0.49145299196243286,0.5046728849411011,0.5605095624923706,0.573913037776947,0.9745762944221497,0.9152542352676392,0.7457627058029175,0.5593220591545105
11,0.6133909225463867,0.6877565383911133,0.6366452574729919,0.5301775336265564,0.5511810779571533,0.5790297389030457,0.6057692170143127,0.9572649598121643,0.8974359035491943,0.7905982732772827,0.6730769276618958,0.5625,0.6073561906814575,0.6751459240913391,0.4977973699569702,0.5315789580345154,0.5629138946533203,0.561904788017273,0.9576271176338196,0.8559321761131287,0.7203390002250671,0.5
12,0.6555075645446777,0.7195442914962769,0.6150212287902832,0.5476190447807312,0.5698323845863342,0.6130081415176392,0.6744730472564697,0.9337607026100159,0.8717948794364929,0.8055555820465088,0.6153846383094788,0.5958333611488342,0.6256598830223083,0.6687615513801575,0.49775785207748413,0.5555555820465088,0.5600000023841858,0.5853658318519592,0.9406779408454895,0.8474576473236084,0.7118644118309021,0.6101694703102112
13,0.6663066744804382,0.7288284301757812,0.6121761798858643,0.5422276854515076,0.5645805597305298,0.5978915691375732,0.6724511981010437,0.9465811848640442,0.9059829115867615,0.8482906222343445,0.6623931527137756,0.6000000238418579,0.6206585168838501,0.6738451719284058,0.4955752193927765,0.5252525210380554,0.5569620132446289,0.5887096524238586,0.9491525292396545,0.8813559412956238,0.7457627058029175,0.6186440587043762
14,0.6609071493148804,0.7431185245513916,0.6015205979347229,0.5458937287330627,0.5638998746871948,0.6039453744888306,0.6681222915649414,0.9658119678497314,0.9145299196243286,0.8504273295402527,0.6538461446762085,0.574999988079071,0.6166990995407104,0.6795699000358582,0.5221675038337708,0.5632184147834778,0.5510203838348389,0.5615384578704834,0.8983050584793091,0.8305084705352783,0.6864407062530518,0.6186440587043762
