epoch,auc,learning_rate,loss,pr_auc,val_auc,val_loss,val_pr_auc
0,0.5296603441238403,9.999999747378752e-05,0.8067935109138489,0.5282852649688721,0.6460278034210205,0.6860632300376892,0.6192813515663147
1,0.604073166847229,9.999999747378752e-05,0.6751196980476379,0.6263059377670288,0.6463257074356079,0.6840747594833374,0.6092431545257568
2,0.6189526319503784,9.999999747378752e-05,0.681553065776825,0.635890007019043,0.659831166267395,0.6685393452644348,0.6580880284309387
3,0.6302422285079956,9.999999747378752e-05,0.6651025414466858,0.6487507820129395,0.6873387098312378,0.6644781827926636,0.6984798908233643
4,0.6767340898513794,9.999999747378752e-05,0.6526167392730713,0.7017931342124939,0.6988083124160767,0.661125898361206,0.7177982926368713
5,0.6890767812728882,9.999999747378752e-05,0.6409821510314941,0.7183597087860107,0.7162860035896301,0.6485890746116638,0.7364648580551147
6,0.6873957514762878,9.999999747378752e-05,0.6519525647163391,0.7170659899711609,0.7166335582733154,0.6443853378295898,0.7403196096420288
7,0.7149502038955688,9.999999747378752e-05,0.6233742237091064,0.755460798740387,0.7396225929260254,0.6368353366851807,0.7614648342132568
8,0.7365659475326538,9.999999747378752e-05,0.6077771186828613,0.7790616750717163,0.6764647960662842,0.6448863744735718,0.7222864031791687
9,0.7424278259277344,9.999999747378752e-05,0.6086181998252869,0.7902225255966187,0.737835168838501,0.6452597379684448,0.7391805648803711
10,0.7297250628471375,9.999999747378752e-05,0.5976505875587463,0.7805023789405823,0.7324726581573486,0.6328952312469482,0.7502493858337402
11,0.7493425607681274,9.999999747378752e-05,0.5890726447105408,0.7868407964706421,0.6843594312667847,0.7019678950309753,0.7005006670951843
12,0.7496351003646851,9.999999747378752e-05,0.5799081325531006,0.7842918038368225,0.6980635523796082,0.6259784698486328,0.7229642868041992
13,0.7846002578735352,9.999999747378752e-05,0.5611841678619385,0.8243287801742554,0.7239820957183838,0.6156100630760193,0.7446893453598022
14,0.7664419412612915,9.999999747378752e-05,0.5600882172584534,0.8106350898742676,0.7423535585403442,0.6227458715438843,0.7524238228797913
15,0.8003325462341309,9.999999747378752e-05,0.5407204627990723,0.8436800837516785,0.7329692840576172,0.6190868616104126,0.749829113483429
16,0.775518000125885,9.999999747378752e-05,0.5571672916412354,0.8149521350860596,0.7274081707000732,0.6214442253112793,0.7380926609039307
17,0.7692928314208984,1.9999999494757503e-05,0.552145779132843,0.8085063695907593,0.722393274307251,0.615217387676239,0.7368390560150146
18,0.8293987512588501,1.9999999494757503e-05,0.4936232566833496,0.8539072275161743,0.7302879691123962,0.6122039556503296,0.7423837184906006
19,0.8321387767791748,1.9999999494757503e-05,0.483889102935791,0.8530600666999817,0.7297418117523193,0.608565092086792,0.7443149089813232
20,0.8370800614356995,1.9999999494757503e-05,0.47959643602371216,0.8613226413726807,0.7301887273788452,0.6076518297195435,0.7472633719444275
21,0.8267171382904053,1.9999999494757503e-05,0.4900784194469452,0.8521980047225952,0.7328202724456787,0.6080350875854492,0.7457671165466309
22,0.8383731842041016,1.9999999494757503e-05,0.4739900231361389,0.86493980884552,0.7328202724456787,0.6094783544540405,0.7470084428787231
23,0.8472121953964233,1.9999999494757503e-05,0.4651685357093811,0.8736925721168518,0.7340118885040283,0.6080583333969116,0.7468045353889465
24,0.8569471836090088,3.999999989900971e-06,0.45925387740135193,0.8805636763572693,0.7337636351585388,0.6080669164657593,0.7464616298675537
25,0.8233798146247864,3.999999989900971e-06,0.48426395654678345,0.8488001823425293,0.7350050210952759,0.6063404679298401,0.7474005222320557
26,0.8471137285232544,3.999999989900971e-06,0.4680674374103546,0.8679077625274658,0.7333167791366577,0.6072515249252319,0.745319128036499
27,0.8263692855834961,3.999999989900971e-06,0.4801185131072998,0.8546680212020874,0.7325223088264465,0.6070559024810791,0.7448267936706543
28,0.8535205125808716,3.999999989900971e-06,0.4584335684776306,0.8692836761474609,0.7347070574760437,0.6062188744544983,0.7467646598815918
29,0.8539453148841858,3.999999989900971e-06,0.4502473771572113,0.8725335001945496,0.7347567081451416,0.6068738698959351,0.7477870583534241
30,0.8250423073768616,3.999999989900971e-06,0.47345948219299316,0.8430530428886414,0.7339125871658325,0.6068571209907532,0.7460044622421265
31,0.8303161859512329,3.999999989900971e-06,0.47538265585899353,0.8563047647476196,0.732770562171936,0.6070535182952881,0.7453038692474365
32,0.8619285821914673,9.999999974752427e-07,0.4457096457481384,0.8824694156646729,0.7336643934249878,0.6066731214523315,0.7458968162536621
33,0.8490071296691895,9.999999974752427e-07,0.4593268036842346,0.8708372116088867,0.7346574068069458,0.6063564419746399,0.746796727180481
34,0.8425756096839905,9.999999974752427e-07,0.462301105260849,0.8634353280067444,0.7346076965332031,0.6065842509269714,0.746658205986023
