fold,seed,architecture,n_outer_evaluation,n_outer_evaluation_patients,auc,bce,ap,brier
1,42,symmetric,246,132,0.8208264462809917,0.5288018085074389,0.8313523099883633,0.17482620477676392
1,42,residual,246,132,0.7828099173553719,0.5650561679403898,0.8028135946112243,0.19065257906913757
