epoch,auc,learning_rate,loss,pr_auc,val_auc,val_loss,val_pr_auc
0,0.8587390184402466,9.999999747378752e-05,0.4564400315284729,0.8795068860054016,0.7348560094833374,0.6071604490280151,0.7468059062957764
1,0.8731935620307922,9.999999747378752e-05,0.4581586718559265,0.8917287588119507,0.7345084547996521,0.6072149872779846,0.7465391159057617
2,0.8739355802536011,9.999999747378752e-05,0.4579146206378937,0.8874796032905579,0.7352532148361206,0.6072763204574585,0.7476541996002197
3,0.8846771717071533,9.999999747378752e-05,0.4512089788913727,0.8958057165145874,0.7348560094833374,0.6073403358459473,0.7473676800727844
4,0.8870262503623962,1.9999999494757503e-05,0.448166161775589,0.8953731060028076,0.7348064184188843,0.6073591113090515,0.7471858263015747
5,0.8776484727859497,1.9999999494757503e-05,0.45116445422172546,0.8882989883422852,0.7348560094833374,0.6073843240737915,0.7471298575401306
6,0.8711215257644653,1.9999999494757503e-05,0.4581056535243988,0.8830365538597107,0.7348063588142395,0.60740727186203,0.7467296123504639
