epoch,auc,learning_rate,loss,pr_auc,val_auc,val_loss,val_pr_auc
0,0.6631794571876526,9.999999747378752e-05,0.6456831693649292,0.6992625594139099,0.6893999576568604,0.6518900990486145,0.7172870635986328
1,0.710017204284668,9.999999747378752e-05,0.6501057147979736,0.720435619354248,0.6931999921798706,0.6511565446853638,0.7188166379928589
2,0.7394198179244995,9.999999747378752e-05,0.6458771228790283,0.7434625625610352,0.7036499977111816,0.6503086090087891,0.7230627536773682
3,0.7443576455116272,9.999999747378752e-05,0.6493258476257324,0.7432767748832703,0.7000499963760376,0.6494230628013611,0.722834587097168
4,0.7676409482955933,9.999999747378752e-05,0.6451303362846375,0.7629563212394714,0.6981499195098877,0.6485374569892883,0.721368670463562
5,0.73527991771698,9.999999747378752e-05,0.6448580026626587,0.7421720027923584,0.6989500522613525,0.647615909576416,0.7215205430984497
6,0.7516677379608154,9.999999747378752e-05,0.6482676267623901,0.7391356229782104,0.7023999691009521,0.6466595530509949,0.7226237058639526
7,0.7475186586380005,9.999999747378752e-05,0.6417000889778137,0.752671480178833,0.6976000070571899,0.6456491947174072,0.719580888748169
8,0.7806806564331055,9.999999747378752e-05,0.6338549852371216,0.7735910415649414,0.6952000260353088,0.6444283127784729,0.7193814516067505
9,0.7724260091781616,9.999999747378752e-05,0.6385018229484558,0.7629724740982056,0.7045999765396118,0.6432786583900452,0.7233431339263916
10,0.7715905904769897,9.999999747378752e-05,0.6388286352157593,0.7578134536743164,0.7077499628067017,0.6421476602554321,0.7260652780532837
11,0.7599910497665405,9.999999747378752e-05,0.6451845765113831,0.7418658137321472,0.7031000256538391,0.6410017609596252,0.7249176502227783
12,0.7757148146629333,9.999999747378752e-05,0.6308469772338867,0.7680023908615112,0.704200029373169,0.6398122906684875,0.7252669334411621
13,0.7691590785980225,9.999999747378752e-05,0.6217615008354187,0.7761467099189758,0.7041000127792358,0.638645589351654,0.7266921997070312
14,0.7964699268341064,9.999999747378752e-05,0.6191065311431885,0.7880394458770752,0.7129999995231628,0.6373845338821411,0.7321820259094238
15,0.8036741018295288,9.999999747378752e-05,0.6196677088737488,0.7803041934967041,0.7141500115394592,0.63605135679245,0.7323366403579712
16,0.7866098880767822,9.999999747378752e-05,0.6220682263374329,0.7709690928459167,0.7135499715805054,0.6349084377288818,0.732654333114624
17,0.7792186737060547,9.999999747378752e-05,0.6120006442070007,0.7822709083557129,0.707800030708313,0.6339300274848938,0.7297800779342651
18,0.7849794626235962,9.999999747378752e-05,0.6102176308631897,0.7838721871376038,0.7055500149726868,0.632881224155426,0.7290866374969482
19,0.8077858686447144,9.999999747378752e-05,0.6041797399520874,0.8018009662628174,0.7027999758720398,0.6318112015724182,0.7277365922927856
20,0.8152549266815186,9.999999747378752e-05,0.6016108989715576,0.8079796433448792,0.7045000195503235,0.6306957006454468,0.7276018261909485
21,0.8138614892959595,9.999999747378752e-05,0.5892102718353271,0.8163362145423889,0.7047500610351562,0.6298555135726929,0.7279654145240784
