epoch,accuracy,auc,loss,precision_35,precision_40,precision_45,precision_50,recall_35,recall_40,recall_45,recall_50,val_accuracy,val_auc,val_loss,val_precision_35,val_precision_40,val_precision_45,val_precision_50,val_recall_35,val_recall_40,val_recall_45,val_recall_50
0,0.5291576385498047,0.5447598099708557,0.7165578603744507,0.5066518783569336,0.508274257183075,0.523097813129425,0.5337553024291992,0.9764957427978516,0.9188033938407898,0.8226495981216431,0.5405982732772827,0.5208333134651184,0.5558488368988037,0.6898921728134155,0.49166667461395264,0.4937238395214081,0.523809552192688,0.5365853905677795,1.0,1.0,0.7457627058029175,0.18644067645072937
1,0.5615550875663757,0.5797946453094482,0.6908895969390869,0.5120828747749329,0.5203955769538879,0.5285714268684387,0.5630081295967102,0.9508547186851501,0.8995726704597473,0.7905982732772827,0.5918803215026855,0.5166666507720947,0.5450472831726074,0.7373554110527039,0.4895397424697876,0.4893617033958435,0.4978354871273041,0.5045871734619141,0.991525411605835,0.9745762944221497,0.9745762944221497,0.9322034120559692
2,0.6025918126106262,0.6415154933929443,0.6611446738243103,0.5333333611488342,0.541271984577179,0.5725677609443665,0.6024590134620667,0.94017094373703,0.8547008633613586,0.7670940160751343,0.6282051205635071,0.5375000238418579,0.6116976737976074,0.7021130323410034,0.5641025900840759,0.565891444683075,0.6082473993301392,0.5614035129547119,0.7457627058029175,0.6186440587043762,0.5,0.2711864411830902
3,0.685745120048523,0.7572290301322937,0.5886114835739136,0.5644090175628662,0.5985401272773743,0.6441821455955505,0.6780683994293213,0.9081196784973145,0.8760683536529541,0.8162392973899841,0.7200854420661926,0.5958333611488342,0.615379273891449,0.7071605324745178,0.5273631811141968,0.5359116196632385,0.558282196521759,0.5755395889282227,0.8983050584793091,0.8220338821411133,0.7711864113807678,0.6779661178588867
4,0.7257019281387329,0.8135263919830322,0.5216445326805115,0.6268221735954285,0.6603174805641174,0.6839285492897034,0.723849356174469,0.9188033938407898,0.8888888955116272,0.8183760643005371,0.7393162250518799,0.574999988079071,0.6089886426925659,0.7439262270927429,0.5483871102333069,0.5579710006713867,0.5433070659637451,0.5754716992378235,0.7203390002250671,0.6525423526763916,0.5847457647323608,0.5169491767883301
5,0.781857430934906,0.8713889718055725,0.44492265582084656,0.6801292300224304,0.7170474529266357,0.7342256307601929,0.7878788113594055,0.8995726704597473,0.8717948794364929,0.8205128312110901,0.7777777910232544,0.5791666507720947,0.6334398984909058,0.7661806344985962,0.5472972989082336,0.5507246255874634,0.59375,0.573913037776947,0.6864407062530518,0.6440678238868713,0.6440678238868713,0.5593220591545105
