fold,seed,architecture,n_outer_evaluation,n_outer_evaluation_patients,auc,bce,ap,brier
4,42,symmetric,248,130,0.5725255417452983,0.7427419473422012,0.564490209387799,0.26745206117630005
4,42,residual,248,130,0.6085768204594261,0.6876079137175857,0.5880105959600734,0.24710287153720856
