epoch,auc,learning_rate,loss,pr_auc,val_auc,val_loss,val_pr_auc
0,0.508659303188324,9.999999747378752e-05,0.8053538203239441,0.5155007243156433,0.5535081028938293,0.9367313981056213,0.5658499598503113
1,0.6413378715515137,9.999999747378752e-05,0.726385235786438,0.6255359649658203,0.5473024845123291,0.7907056212425232,0.5497241020202637
2,0.6405555009841919,9.999999747378752e-05,0.7120826840400696,0.6325335502624512,0.5676925182342529,0.7778752446174622,0.5818893909454346
3,0.7028230428695679,9.999999747378752e-05,0.6705929636955261,0.7045810222625732,0.5704786777496338,0.7765608429908752,0.5964075326919556
4,0.7459194660186768,9.999999747378752e-05,0.635098397731781,0.738865315914154,0.5937817096710205,0.7521613240242004,0.6249184608459473
5,0.7425476908683777,9.999999747378752e-05,0.6308023929595947,0.733795702457428,0.5871961116790771,0.7589455842971802,0.6213916540145874
6,0.7886369228363037,9.999999747378752e-05,0.5951317548751831,0.7943906784057617,0.6051164865493774,0.7543041706085205,0.6366803646087646
7,0.8067800998687744,9.999999747378752e-05,0.5766894221305847,0.80120450258255,0.6032801270484924,0.7350797057151794,0.6286492347717285
8,0.8257582187652588,9.999999747378752e-05,0.557877779006958,0.8235146999359131,0.6073328256607056,0.7391573190689087,0.645790696144104
9,0.8559780120849609,9.999999747378752e-05,0.5313569903373718,0.8437405824661255,0.6057497262954712,0.7382077574729919,0.6457077264785767
10,0.8626899719238281,9.999999747378752e-05,0.5254965424537659,0.8583499193191528,0.6061930060386658,0.7273522615432739,0.6513698101043701
11,0.8503992557525635,9.999999747378752e-05,0.5329296588897705,0.8477871417999268,0.6148049831390381,0.7181589007377625,0.6560311317443848
12,0.8446100950241089,9.999999747378752e-05,0.5429896116256714,0.8497530817985535,0.597011148929596,0.7528078556060791,0.6448410153388977
13,0.8667880296707153,9.999999747378752e-05,0.5149316191673279,0.8705728054046631,0.6018869876861572,0.7533937692642212,0.6580784320831299
14,0.8866082429885864,9.999999747378752e-05,0.5017586350440979,0.8942948579788208,0.5894123315811157,0.7290917634963989,0.6287172436714172
15,0.9009866118431091,1.9999999494757503e-05,0.48241090774536133,0.9068485498428345,0.5974544286727905,0.7302253246307373,0.6367584466934204
16,0.900260329246521,1.9999999494757503e-05,0.4893229007720947,0.9020804762840271,0.6010638475418091,0.7325068116188049,0.6421636939048767
17,0.8923975229263306,1.9999999494757503e-05,0.4920402467250824,0.8825652003288269,0.6003039479255676,0.7314082980155945,0.6412110328674316
